Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Gini index,SI.POV.GINI,,,,,,,,,
Africa Eastern and Southern,AFE,Gini index,SI.POV.GINI,,,,,,,,,
Afghanistan,AFG,Gini index,SI.POV.GINI,,,,,,,,,
Africa Western and Central,AFW,Gini index,SI.POV.GINI,,,,,,,,,
Angola,AGO,Gini index,SI.POV.GINI,,,,51.3,,,,,
Albania,ALB,Gini index,SI.POV.GINI,32.8,33.7,33.1,30.1,30.1,29.4,,,
Andorra,AND,Gini index,SI.POV.GINI,,,,,,,,,
Arab World,ARB,Gini index,SI.POV.GINI,,,,,,,,,
United Arab Emirates,ARE,Gini index,SI.POV.GINI,,,,26.4,,,,,
Argentina,ARG,Gini index,SI.POV.GINI,,42.3,41.4,41.7,43.3,42.7,42.4,40.7,42.4
Armenia,ARM,Gini index,SI.POV.GINI,32.4,32.5,33.6,34.4,30,25.1,27.9,27.9,27.2
American Samoa,ASM,Gini index,SI.POV.GINI,,,,,,,,,
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,,,,,,,,,
Australia,AUS,Gini index,SI.POV.GINI,,33.7,,34.3,,33.8,,,
Austria,AUT,Gini index,SI.POV.GINI,30.5,30.8,29.7,30.8,30.2,29.8,30.7,30.9,31.2
Azerbaijan,AZE,Gini index,SI.POV.GINI,,,,,,,,,
Burundi,BDI,Gini index,SI.POV.GINI,,,,,,37.5,,,
Belgium,BEL,Gini index,SI.POV.GINI,27.7,27.6,27.4,27.2,27.2,26,26.6,26.4,26.8
Benin,BEN,Gini index,SI.POV.GINI,47.6,,,37.9,,,34.4,,
Burkina Faso,BFA,Gini index,SI.POV.GINI,,,,43,,,37.4,,
Bangladesh,BGD,Gini index,SI.POV.GINI,,32.4,,,,,,30.9,
Bulgaria,BGR,Gini index,SI.POV.GINI,38.6,40.6,40.4,41.3,40.3,40.5,39,38.2,39.5
Bahrain,BHR,Gini index,SI.POV.GINI,,,,,,,,,
"Bahamas, The",BHS,Gini index,SI.POV.GINI,,,,,,,,,
Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,,,,,,,,,
Belarus,BLR,Gini index,SI.POV.GINI,25.6,25.3,25.4,25.2,25.3,24.4,,,
Belize,BLZ,Gini index,SI.POV.GINI,,,,39.9,,,,,
Bermuda,BMU,Gini index,SI.POV.GINI,,,,,,,,,
Bolivia,BOL,Gini index,SI.POV.GINI,46.7,45.2,44.6,42.6,41.6,43.6,40.9,41.2,42.1
Brazil,BRA,Gini index,SI.POV.GINI,51.9,53.4,53.3,53.9,53.5,48.9,52.9,52,51.6
Barbados,BRB,Gini index,SI.POV.GINI,,34.1,,,,,,,
Brunei Darussalam,BRN,Gini index,SI.POV.GINI,,,,,,,,,
Bhutan,BTN,Gini index,SI.POV.GINI,,,37.4,,,,,28.5,
Botswana,BWA,Gini index,SI.POV.GINI,54.9,,,,,,,,
Central African Republic,CAF,Gini index,SI.POV.GINI,,,,,,,43,,
Canada,CAN,Gini index,SI.POV.GINI,33.7,32.7,33.3,32.5,31.7,29.9,31.1,,
Central Europe and the Baltics,CEB,Gini index,SI.POV.GINI,,,,,,,,,
Switzerland,CHE,Gini index,SI.POV.GINI,32.3,33,32.7,33.1,34,33.7,33.8,33.8,
Channel Islands,CHI,Gini index,SI.POV.GINI,,,,,,,,,
Chile,CHL,Gini index,SI.POV.GINI,45.3,,45.3,,,47,,43,
China,CHN,Gini index,SI.POV.GINI,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36,
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,41.5,,,37.2,,,35.3,,
Cameroon,CMR,Gini index,SI.POV.GINI,,,,,,,42.2,,
"Congo, Dem. Rep.",COD,Gini index,SI.POV.GINI,,,,,,44.7,,,
"Congo, Rep.",COG,Gini index,SI.POV.GINI,,,,,,,,,
Colombia,COL,Gini index,SI.POV.GINI,51,50.6,49.7,50.4,51.3,53.5,55.1,54.8,53.9
Comoros,COM,Gini index,SI.POV.GINI,,,,,,,,,
Cabo Verde,CPV,Gini index,SI.POV.GINI,42.4,,,,,,,,
Costa Rica,CRI,Gini index,SI.POV.GINI,48.4,48.7,48.3,48,48.2,49.2,48.7,47.2,46.7
Caribbean small states,CSS,Gini index,SI.POV.GINI,,,,,,,,,
Cuba,CUB,Gini index,SI.POV.GINI,,,,,,,,,
Curacao,CUW,Gini index,SI.POV.GINI,,,,,,,,,
Cayman Islands,CYM,Gini index,SI.POV.GINI,,,,,,,,,
Cyprus,CYP,Gini index,SI.POV.GINI,34,32.9,31.4,32.7,31.2,31.7,31.3,31.5,31.8
Czechia,CZE,Gini index,SI.POV.GINI,25.9,25.4,24.9,25,25.3,26.2,26.2,25.9,25.7
Germany,DEU,Gini index,SI.POV.GINI,31.7,31.4,31.3,31.9,31.8,32.4,,,
Djibouti,DJI,Gini index,SI.POV.GINI,,,41.6,,,,,,
Dominica,DMA,Gini index,SI.POV.GINI,,,,,,,,,
Denmark,DNK,Gini index,SI.POV.GINI,28.2,28.2,28.7,28.2,27.7,27.5,28.3,29.3,29.9
Dominican Republic,DOM,Gini index,SI.POV.GINI,45.2,45.7,42.2,43.7,41.9,39.6,38.5,37,38.4
Algeria,DZA,Gini index,SI.POV.GINI,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Gini index,SI.POV.GINI,,,,,,,,,
Early-demographic dividend,EAR,Gini index,SI.POV.GINI,,,,,,,,,
East Asia & Pacific,EAS,Gini index,SI.POV.GINI,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Gini index,SI.POV.GINI,,,,,,,,,
Europe & Central Asia,ECS,Gini index,SI.POV.GINI,,,,,,,,,
Ecuador,ECU,Gini index,SI.POV.GINI,46,45,44.7,45.4,45.7,47.3,45.8,45.5,44.6
"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,31.8,,31.5,,31.9,,28.5,,
Euro area,EMU,Gini index,SI.POV.GINI,,,,,,,,,
Eritrea,ERI,Gini index,SI.POV.GINI,,,,,,,,,
Spain,ESP,Gini index,SI.POV.GINI,36.2,35.8,34.7,34.7,34.3,34.9,33.9,33.6,33.4
Estonia,EST,Gini index,SI.POV.GINI,32.7,31.2,30.4,30.3,30.8,30.7,31.8,32.3,30.7
