Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0,,0,,0,,0,
Africa Eastern and Southern,AFE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,55.50679153,,55.07433327,,54.67839365,,57.04718498,
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,72.12863,,73.3,,73.3,,71.58904,
Africa Western and Central,AFW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,51.28426279,,49.07970088,,47.08893082,,51.2354204,
Angola,AGO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,56.44953,,62.58105,,62.6,,62.7,
Albania,ALB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,7.8,,5.3,,2.8,,2.7,
Andorra,AND,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0,,0,,0,,0,
Arab World,ARB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,22.89081549,,22.59739133,,22.91764234,,21.97632467,
United Arab Emirates,ARE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0.25,,0.1,,0.2265,,0.11325,
Argentina,ARG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,14.5,,14.5,,14.5,,14.5,
Armenia,ARM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,8.88375,,8.39472,,8.39472,,8.39472,
American Samoa,ASM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,
Antigua and Barbuda,ATG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,2.6463,,2.6463,,2.6463,,2.64634,
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0.035,,0.035,,0.035,,0.035,
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,0.04663,
Azerbaijan,AZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,
Burundi,BDI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,44.86794,,39.50542,,36.8,,36.75168,
Belgium,BEL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0,,0,,0,,0,
Benin,BEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,68.71948,,68.3262,,67.93293,,64.01064,
Burkina Faso,BFA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,37.6825,,32.11638,,26.55025,,87.88175,
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,53.15752,,52.51337,,51.86921,,51.50833,
Bulgaria,BGR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0.2,,0.2,,0.25,,0.19661,
Bahrain,BHR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,0,,,,,
"Bahamas, The",BHS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,
Bosnia and Herzegovina,BIH,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,4,,4,,0.3128,,0.3128,
Belarus,BLR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,0.004,,,,
Belize,BLZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,15.73333,,15.72933,,15.72533,,15.72533,
Bermuda,BMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0.1,,0.1,,0.1,,0.07761,
Bolivia,BOL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,46.62568,
Brazil,BRA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,14.8971,,,,,,14.8971,
Barbados,BRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,
Brunei Darussalam,BRN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,23.5391,,22.43622,,21.72738,,21.59688,
Bhutan,BTN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,51.44004,,50.66515,,50.42596,,44.6899,
Botswana,BWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,41.71139,,39.58877,,39.6,,39.6,
Central African Republic,CAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,68.9131,,68.9131,,68.9131,,68.9131,
Canada,CAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0.7,,0.8,,0.8,,1.09583,
Central Europe and the Baltics,CEB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,2.862100259,,2.17887728,,1.8711361,,2.232323981,
Switzerland,CHE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,0,,0,,0,,0,
Channel Islands,CHI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,
Chile,CHL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,7.324,
China,CHN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,26.32091,
Cote d'Ivoire,CIV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,54.75146,,53.21082,,53.21082,,48.26127,
Cameroon,CMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,39.21019,,35.94099,,32.67179,,32.67179,
"Congo, Dem. Rep.",COD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,76.98054,,77.90169,,78.36226,,78.36226,
"Congo, Rep.",COG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,47.29947,,44.18359,,44.18359,,75.34233,
Colombia,COL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,10.42127,,9.7,,9.7,,9.7,
Comoros,COM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,68.6,,68.6,,68.6,,48.50155,
Cabo Verde,CPV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,51.40312,,49.20007,,46.67545,,46.41147,
Costa Rica,CRI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,5.37577,,4.46075,,3.54573,,3.54573,
