Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,608.7628245,607.2978092,597.7863854,585.0441454,587.6480365,566.9607232,579.8166931,562.0606994,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Africa Western and Central,AFW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,336.9786679,343.8963375,332.429748,325.4677663,341.6661325,336.5664069,350.10251,351.9130616,
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,517.5252094,462.934994,456.6922175,405.1797531,416.9965072,397.6331866,418.358996,423.1225176,
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,762.2879863,786.0710452,824.3735504,823.101982,817.1765484,761.9572681,810.0063372,780.7386239,781.0844946
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1838.08041,1837.889245,1845.538332,1813.736914,1794.801054,1677.419114,1736.005257,1780.222858,
United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,10146.37679,10355.54761,8521.136772,8482.303172,8816.509436,8154.352941,8674.226414,8335.809572,
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1919.758592,1889.870189,1874.829637,1806.776235,1777.415077,1623.924508,1741.513772,1808.760213,1832.0669
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1084.520629,1043.097972,1105.96697,1072.336825,1163.092847,1233.304559,1271.528056,1347.590557,
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5318.666793,5216.988672,5162.458943,5086.373785,5231.57466,5159.036384,5006.443065,4942.984807,4928.969938
Austria,AUT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3795.510374,3797.168022,3839.948052,3717.625321,3765.980119,3546.504499,3728.133989,3486.729433,3308.71167
Azerbaijan,AZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1510.918569,1480.934283,1478.784184,1471.370276,1587.784776,1536.830563,1623.829324,1714.03726,1732.197395
Burundi,BDI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Belgium,BEL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4661.663762,4904.157708,4863.632802,4660.206929,4775.957475,4386.430508,4823.583422,4368.445626,4048.504413
Benin,BEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,379.4920267,409.0388211,412.3043521,423.2833238,414.5436411,426.1854787,376.0552953,375.8209836,
Burkina Faso,BFA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,279.2199821,271.6155753,285.3137994,299.9134373,302.3306934,263.882988,303.1718535,312.9290858,
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,237.7131636,255.9235488,260.8802861,257.8738895,273.3400233,272.0765721,292.4872195,297.1183563,
Bulgaria,BGR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2637.503535,2606.610534,2732.222441,2764.275131,2771.124203,2664.55153,2918.916414,2968.656634,2604.191045
Bahrain,BHR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,10405.63907,9878.66505,9444.423939,9533.855383,10388.18902,10832.91852,10666.05741,10701.79276,
"Bahamas, The",BHS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Bosnia and Herzegovina,BIH,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1755.043771,1945.254758,1966.742964,2205.400194,2157.71633,2152.730189,2267.260889,2270.726376,2171.048191
Belarus,BLR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2660.140268,2639.094863,2692.583449,2849.294773,2748.968837,2673.865486,2929.275337,2862.487035,
Belize,BLZ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Bermuda,BMU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Bolivia,BOL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,748.8599455,778.9652301,800.8881837,803.1278906,795.5427455,657.7454692,757.8631665,798.2932201,
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1482.020579,1414.897931,1431.959497,1403.402325,1415.83477,1379.246499,1430.393466,1432.727411,1481.224399
Barbados,BRB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Brunei Darussalam,BRN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,6437.002474,7008.28172,8385.25859,8304.042428,9219.803393,9175.892572,8962.623256,9537.051561,
Bhutan,BTN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Botswana,BWA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1308.134452,1245.115705,1280.407473,1343.698473,1241.677932,1119.82959,1142.897986,1165.149687,
Central African Republic,CAF,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Canada,CAN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7690.408166,7944.507893,8175.190376,8161.779675,8125.581213,7495.079323,7524.863612,7578.020936,7336.067035
Central Europe and the Baltics,CEB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2528.220063,2589.299031,2707.96339,2762.102724,2699.506608,2621.636005,2806.975464,2683.157095,2527.368713
Switzerland,CHE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2927.960153,2819.830959,2809.479457,2806.499156,2857.158192,2690.390233,2619.805561,2591.92141,2511.577524
Channel Islands,CHI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Chile,CHL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1968.302862,2070.469582,2065.975717,2067.976474,2154.354519,1946.167606,2032.981204,2124.698482,2039.349694
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2175.154449,2149.20475,2215.91139,2310.877571,2397.968689,2465.969546,2623.799594,2676.48201,2850.941529
Cote d'Ivoire,CIV,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,383.892795,391.6555834,392.5852505,358.5414018,364.1498631,375.3171839,468.4144976,471.7754248,
Cameroon,CMR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,402.9836077,400.0829701,392.7762927,392.392157,387.4194117,386.8838423,385.0816854,384.1048632,
"Congo, Dem. Rep.",COD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,358.5420813,355.0654464,342.4737686,339.7602147,334.5417288,372.0663772,394.0332463,390.8999112,
"Congo, Rep.",COG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,552.356622,561.3217183,548.0187539,552.1651551,582.5861279,586.7361097,588.2917636,627.5859662,
Colombia,COL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,887.2620259,910.9775298,859.1401654,816.3274252,889.7830682,810.0522986,872.6589916,851.2327766,862.634682
Comoros,COM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Cabo Verde,CPV,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Costa Rica,CRI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1024.451445,1001.150935,972.7527405,950.3072263,996.6736063,948.9796592,996.5939476,1009.21523,1025.149357
Caribbean small states,CSS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Cuba,CUB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,977.9110203,960.4369646,923.4354236,879.9677927,865.5345927,854.3748898,814.6364585,815.6158628,
Curacao,CUW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,15175.89151,12894.4532,10612.55656,9497.713015,5972.171425,5097.789985,5497.708383,5774.970088,
Cayman Islands,CYM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Cyprus,CYP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1677.402482,1761.874429,1794.017322,1773.614564,1758.054571,1638.571911,1666.21661,1682.704925,1672.785754
Czechia,CZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3982.188363,3927.725159,4089.513413,4081.418687,4002.246117,3764.471612,4056.317001,3895.629289,3509.348049
Germany,DEU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3780.850276,3765.217999,3763.194042,3659.229245,3570.881593,3349.199314,3467.03057,3237.716066,2906.745159
Djibouti,DJI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Dominica,DMA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Denmark,DNK,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2847.987911,2891.026883,2896.570676,2870.416286,2757.249865,2637.043006,2756.122648,2580.543192,2482.856671
Dominican Republic,DOM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,797.9231707,842.6382492,824.3965716,860.8644316,938.5834947,842.6118205,939.1955823,950.4701053,
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1414.497021,1371.202077,1380.346818,1442.302112,1463.509857,1373.678321,1451.445177,1499.51,1503.414066
East Asia & Pacific (excluding high income),EAP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1743.434281,1735.331719,1789.76863,1869.442957,1936.420064,1971.590425,2078.78979,2124.87627,2511.507601
Early-demographic dividend,EAR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,860.9282307,871.5366069,891.8610984,892.6681093,899.4585491,862.363352,910.5703464,943.1283446,
East Asia & Pacific,EAS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2000.680978,1994.109219,2044.402188,2113.21476,2164.402549,2177.530407,2289.231265,2321.4691,2662.445838
Europe & Central Asia (excluding high income),ECA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1764.489833,1816.657752,1854.444198,1895.613053,1880.293206,1838.06191,2008.406052,1892.380868,1968.482486
Europe & Central Asia,ECS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3046.402827,3083.213408,3127.735956,3158.503581,3081.539967,2942.964049,3175.654846,3026.137023,2535.404723
Ecuador,ECU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,936.659126,885.6021582,897.9481076,869.583266,903.972772,785.4252005,886.1411806,904.7399236,
"Egypt, Arab Rep.",EGY,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,810.8171273,872.5814078,897.2180736,870.8135735,844.7830134,805.2594566,857.8219385,902.4884299,928.3949474
Euro area,EMU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3311.388671,3311.434265,3343.858758,3280.871516,3223.633981,2978.614496,3147.594144,2940.893842,2802.494381
Eritrea,ERI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,271.6211749,277.2638254,278.0466537,282.9709996,285.0720469,284.9441487,286.9986629,289.5477947,
Spain,ESP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2552.401252,2563.007044,2690.497333,2666.260797,2573.904425,2303.513116,2422.467047,2408.928115,2293.927232
Estonia,EST,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3695.119191,4579.421117,4444.846671,4282.715133,3661.499254,3368.237307,3427.299681,3559.048932,3089.393339
Ethiopia,ETH,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,380.0628924,383.6235099,382.0801046,384.7257283,386.2372412,380.656755,373.9021838,377.9217527,
European Union,EUU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3176.288384,3193.847442,3244.399055,3209.909302,3149.897465,2933.987184,3109.89331,2919.48878,2776.932048
Fragile and conflict affected situations,FCS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,569.3394968,560.7828182,557.9053195,540.9962199,542.9383452,499.1987446,525.4770329,498.6896465,
Finland,FIN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5921.596817,6120.633015,6070.157508,6165.444024,6024.653666,5739.254453,5996.892993,5683.951022,5866.65174
Fiji,FJI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
France,FRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3799.192605,3718.170534,3705.411116,3669.37066,3605.5319,3228.489157,3469.833986,3105.630063,3140.016793
Faroe Islands,FRO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Gabon,GAB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2550.960479,2489.241799,2263.593357,2294.912201,2205.671824,2140.115852,2101.496825,2096.245648,
United Kingdom,GBR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2774.796828,2696.97999,2658.995773,2632.150672,2515.973446,2317.408539,2377.263689,2254.369416,2127.608434
Georgia,GEO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1259.159979,1300.498944,1312.786103,1301.877288,1371.179347,1327.386445,1425.967856,1543.5838,1530.067121
Ghana,GHA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,329.3104134,327.9003763,321.6899812,350.4731743,354.2488434,367.1611029,361.9449789,359.1793791,
Gibraltar,GIB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,6357.375039,6576.81315,6890.925562,7190.595034,7476.803847,6822.753573,6723.818502,6522.234993,
Guinea,GIN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
"Gambia, The",GMB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Guinea-Bissau,GNB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Equatorial Guinea,GNQ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1329.541864,1510.323946,1291.244826,1409.340059,1273.743152,1121.379083,1300.883961,1283.935168,
Greece,GRC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2148.047079,2109.416567,2148.051564,2089.360442,2058.543384,1839.488189,1924.00172,1957.798721,1875.273901
Grenada,GRD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Greenland,GRL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Guatemala,GTM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,787.2635175,833.5520307,817.6767207,833.8310687,851.5769814,823.7517848,924.2104488,887.8389253,
Guam,GUM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
Guyana,GUY,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,
High income,HIC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4665.079834,4659.830134,4675.67373,4720.797264,4650.503677,4373.990504,4616.787323,4550.455324,4137.244041
"Hong Kong SAR, China",HKG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2030.168829,2081.70252,1868.116582,1916.577596,1876.918556,1655.134059,1671.631301,1566.396135,
Honduras,HND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,659.3940734,616.3914054,537.5923822,565.0779163,583.5919114,544.5738557,569.9664706,573.3444451,593.6295508
Heavily indebted poor countries (HIPC),HPC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,392.0447501,392.0117207,387.1396239,387.4832201,388.9023917,388.2461037,398.5121486,400.7846965,
Croatia,HRV,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2018.542592,2057.188695,2159.969522,2127.638786,2173.19836,2104.845306,2212.497211,2154.954833,2237.233699
Haiti,HTI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,400.1388184,408.565441,410.5955452,419.5069149,409.8045053,398.3941385,406.1262965,377.5260604,
Hungary,HUN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2571.150905,2613.093542,2737.453325,2738.82729,2749.241319,2713.179234,2850.705795,2672.867655,2515.370529
IBRD only,IBD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1501.78818,1504.22336,1537.84266,1579.549988,1605.596977,1584.470028,1687.000263,1713.287987,1683.339721
IDA & IBRD total,IBT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1237.978154,1239.275691,1262.791993,1291.501385,1308.863749,1290.388845,1366.376,1381.83689,
IDA total,IDA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,388.5042046,395.6692941,397.1731057,396.3342719,399.1495251,401.9553736,413.0001619,412.3596597,
IDA blend,IDB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,445.129927,454.7638694,454.9954938,448.7868,451.0067724,459.3618392,479.001163,477.0443113,
Indonesia,IDN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,698.6607376,718.5795349,755.3513042,826.03866,844.8700394,848.4367662,896.8135349,953.6539285,976.9499855
