Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,AFE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.837644275,2.961749374,3.039054771,3.023618841,5.645156913,8.502963806,8.502963806,8.501656264,8.501656264
Afghanistan,AFG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
Africa Western and Central,AFW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.860875398,0.858384781,2.678722327,2.678722327,2.719070321,2.681153163,2.783878507,2.783878507,2.783878507
Angola,AGO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Albania,ALB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8
Andorra,AND,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
Arab World,ARB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.239183955,1.45739211,1.539279666,1.669559128,1.317539439,1.372194451,1.401140078,1.441926642,1.46214917
United Arab Emirates,ARE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,12.4,4.3,4.3,11.3,11.3,11.5,11.5,11.5,11.5
Argentina,ARG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4,4,4,3.8,11.8,11.8,11.8,11.8,11.8
Armenia,ARM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
American Samoa,ASM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.7,8.7,8.7,8.7,8.7,0,8.7,8.7,8.7
Antigua and Barbuda,ATG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Australia,AUS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,43.2,40.7,40.6,40.6,40.8,40.8,44.3,44.3,44.3
Austria,AUT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
Azerbaijan,AZE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Burundi,BDI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
Belgium,BEL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,36.6,36.7,36.6,36.7,36.7,36.7,38.1,38.1,38.1
Benin,BEN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
Bangladesh,BGD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,8
Bulgaria,BGR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
Bahrain,BHR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.2,1.2,1.2,1.2,1.2,1.2,1.2,21.1,21.1
"Bahamas, The",BHS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.6,0.6,7.9,7.9,7.9,7.9,7.9,7.9,7.9
Bosnia and Herzegovina,BIH,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Belarus,BLR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
Belize,BLZ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,10.1,10.1,10.1,10.1,10.1,11,11,11,11
