Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333
Africa Eastern and Southern,AFE,Forest area (% of land area),AG.LND.FRST.ZS,31.26041973,31.03968156,30.82431626,30.61151182,30.39162586,30.17425244,29.95519379,29.7372051,
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994
Africa Western and Central,AFW,Forest area (% of land area),AG.LND.FRST.ZS,20.23423077,20.15261016,20.07132718,19.9860996,19.90123011,19.81678398,19.73203653,19.64748777,
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115,52.98172239,52.53649723,52.09126967
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708,28.7919708,28.7919708,28.7919708
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,2.900938039,2.883323261,2.863942909,2.844420469,2.826620788,2.808895261,2.791120845,2.773553927,
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488,10.40088574,10.3610566,10.32129514
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.64894223,11.64162685,11.63367179,11.61831582
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,86.4,86.25,86.1,85.95,85.8,85.65,85.5,85.35,85.2
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,19.20454545,19.04545455,18.90909091,18.75,18.59090909,18.45454545,18.30295455,18.16159091,18.01340909
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456,17.42131456,17.42131456,17.42131456
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,47.03332525,47.07695104,47.12045565,47.16396025,47.10373243,47.13790596,47.1720795,47.20613185,47.24026539
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,13.03953401,13.15441152,13.27314606,13.41393036,13.55336705,13.69418968,13.83299093,13.97248155,14.11195402
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,22.72442554,22.72442554,22.72442554,22.60518808,22.60444678,22.60444678,22.60444678,22.60444678,22.60444678
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246,27.36032281,26.91690316,26.4734835
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,23.63450292,23.45175439,23.26900585,23.08625731,22.90350877,22.72076023,22.5380117,22.35526316,22.17251462
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.45877476,14.48992153
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,35.30766396,35.38135593,35.50110538,35.62085483,35.74060427,35.86035372,35.98010317,36.09985262,36.21960206
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,0.771208226,0.795892169,0.820512821,0.848329049,0.871794872,0.891719745,0.911392405,0.936708861,0.95
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494
Bosnia and Herzegovina,BIH,Forest area (% of land area),AG.LND.FRST.ZS,42.19726563,42.50996094,42.73261719,42.73261719,42.73261719,42.73261719,42.73261719,42.73261719,42.73261719
Belarus,BLR,Forest area (% of land area),AG.LND.FRST.ZS,42.53416626,42.90696987,42.97840266,43.05153217,43.12615476,43.19440339,43.27223454,43.33513966,43.40806866
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,58.43182815,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947,55.49715037,55.00789128,54.51863218
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,48.0266039,47.77132835,47.53274255,47.31213884,47.10953568,46.92491461,46.72830546,46.53968836,46.34574319
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,60.28673844,60.07102059,59.83292934,59.70838009,59.558586,59.41747805,59.27048362,59.12750923,58.98187298
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279
