Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Africa Eastern and Southern,AFE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,13,12.9,13.1,12.5,12.3,11.7,12.5,12.7,12.4
Afghanistan,AFG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.95218591,6.679997459,6.792021208,6.733248167,7.163966958,6.578108939,4.032458466,,
Africa Western and Central,AFW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,16.3,16.2,15.7,15,14.4,13.7,13.1,12.6,11.9
Angola,AGO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.453473244,4.098266563,,,,,,,
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.207938089,2.726143527,2.001212804,2.280398489,2.25302551,2.123989821,2.316085689,1.697547892,1.387083408
Andorra,AND,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,2.584647196,,,
Arab World,ARB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.8,,,,,,,,
United Arab Emirates,ARE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.691671913,,,,0.682459381,0.687938137,0.449481911,0.693218125,
Argentina,ARG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.525287432,5.97945616,5.231559858,5.338722039,5.131914951,5.3527215,4.621263663,4.31202462,4.492911378
Armenia,ARM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.567457815,2.98068465,2.401402282,1.71823402,2.513798775,2.594354512,3.135507762,2.742222891,2.208335754
American Samoa,ASM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,7.564582624,,13.56957314,25.53601069,,,,,
Antigua and Barbuda,ATG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,22.10726445,13.19754526,3.28358699,9.799011389,17.32558014,10.7712193,10.7163333
Australia,AUS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.985468433,0.93300594,0.841048385,0.879787384,0.882951478,0.858459424,0.743554075,0.839663105,0.854406036
Austria,AUT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.509021333,0.617996363,0.795565066,0.972669073,0.867031586,0.728584791,0.724875549,0.871514782,0.876191031
Azerbaijan,AZE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.163470165,1.712532128,1.825749376,1.962193511,1.661642999,2.150911486,1.700153419,1.787222602,2.161228206
Burundi,BDI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.172859576,5.649742145,,,,,,,
Belgium,BEL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,1.080301535,,
Benin,BEN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,1.127497407,,,,,,
Burkina Faso,BFA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.646029931,1.120862796,1.25044052,,,,,,
Bangladesh,BGD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.531634784,2.233043248,2.188226354,2.342176682,,,,,
Bulgaria,BGR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.755481736,1.108393287,1.455699633,1.309655987,1.18988415,0.995146569,1.294126534,1.113412163,1.088907374
Bahrain,BHR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.21903406,0.279797762,0.404859666,0.333861837,0.269238704,,0.066588381,0.19563614,
"Bahamas, The",BHS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,37.88797874,28.60415585,31.24319756,23.17187291,24.0704682,18.44074647,30.02222654,32.1981393,
Bosnia and Herzegovina,BIH,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.619989879,1.295708642,1.224960316,1.15146147,1.255405342,1.303287209,0.986160622,1.092111151,1.224461731
Belarus,BLR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.436175103,3.231897544,2.527435976,2.383958449,2.384631653,,,,
Belize,BLZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,33.39572815,37.83880122,38.04915039,37.60916191,34.73045667,26.09953904,31.61783398,28.05829172,
Bermuda,BMU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.302835488,12.60865111,7.864293747,7.833184503,,10.87260414,10.82786784,13.89993591,6.182571331
Bolivia,BOL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.929773426,5.742387122,6.584637828,4.987675055,4.258277648,3.622115367,3.501611893,4.01584678,4.418433131
Brazil,BRA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,28.85030198,30.11936237,31.16117562,27.16061524,21.24456021,21.81290915,20.50486267,20.08117541,19.27529577
Barbados,BRB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,11.11150937,7.868453759,10.70774634,9.974689226,17.06924602,14.55459393,11.34162572,15.23105151,7.437946277
Brunei Darussalam,BRN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Bhutan,BTN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.620268478,1.203424143,1.723373384,1.184586165,1.045992281,2.46751324,,,
Botswana,BWA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,9.341079808,11.36817673,,
Central African Republic,CAF,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,20.12040065,,,,,,,
Canada,CAN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.699004572,1.694479652,1.806648093,1.77503663,1.823574609,2.00409191,2.083005182,2.271951046,1.979688876
Central Europe and the Baltics,CEB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.3,,,,,,,,
Switzerland,CHE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.688078877,0.537319784,0.532315829,0.587106358,0.536285296,0.543944872,0.482369205,0.477697118,0.597481941
Channel Islands,CHI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Chile,CHL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.321635054,3.394057493,4.197454397,4.366652515,4.813065535,5.75613878,4.656581245,6.802012567,6.34829073
China,CHN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.658962453,0.614934213,0.5657219,0.530299683,0.518362801,0.501856071,,,
Cote d'Ivoire,CIV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Cameroon,CMR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.782385107,3.355481286,4.161036937,,,4.585938231,,6.760089193,
"Congo, Dem. Rep.",COD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
"Congo, Rep.",COG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Colombia,COL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,27.21527825,26.1438669,25.55105872,23.82075945,23.39906129,22.64270307,25.58012741,24.94880764,24.91344203
Comoros,COM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Cabo Verde,CPV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,8.977475319,12.09627464,7.408952745,6.038000448,6.41893469,6.99464424,,,
Costa Rica,CRI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,11.56072124,11.87590501,12.27311778,11.79954569,11.26100561,11.32228384,11.62058207,12.90890202,17.74547987
Caribbean small states,CSS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,31.5,,,,,,,,
Cuba,CUB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.489990767,5.077398369,4.587551962,4.373339818,4.463151396,,,,
Curacao,CUW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Cayman Islands,CYM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,4.648604257,10.61563076,2.97057644,4.367797684,,,
Cyprus,CYP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.230010787,1.0508341,0.558091105,1.180416884,1.16579873,1.151854774,1.214597795,0.600884803,0.817858764
Czechia,CZE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.836150869,0.617169777,0.626106269,,0.86216085,0.729848861,0.446314852,0.815124743,0.767827758
Germany,DEU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.830921483,1.163604165,0.978292178,0.945201063,0.745579303,0.935085587,0.83037542,0.815829208,0.91072278
Djibouti,DJI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,
Dominica,DMA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,12.78227524,22.98635903,27.73864358,19.06871338,19.15130266,22.19821526,14.88050951,28.43183468,27.06339601
Denmark,DNK,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.090838522,0.977619326,1.231533929,1.001065876,0.859901643,0.823111602,0.631746832,0.982567308,0.840599405
Dominican Republic,DOM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,15.31546034,11.39981155,9.905348735,9.417990666,8.729776623,10.53627529,12.36784757,10.9166977
Algeria,DZA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.364333898,1.326781968,1.256917273,1.336312275,1.198765313,1.48494312,1.552687524,1.748121448,1.161072388
East Asia & Pacific (excluding high income),EAP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.5,,,,,,,,
Early-demographic dividend,EAR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6,,,,,,,,
East Asia & Pacific,EAS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.3,1.3,1.1,1,0.9,0.9,1.4,0.8,0.8
Europe & Central Asia (excluding high income),ECA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.4,,,,,,,,
Europe & Central Asia,ECS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.3,3.3,2.9,2.6,2.4,2.3,2.2,2.2,2.1
Ecuador,ECU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.455093299,5.81031174,5.787755431,5.830067093,6.845435572,7.819417283,14.11568739,27.41263597,45.72281452
