Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Africa Eastern and Southern,AFE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,2.932003087,3.100332765,2.948736276,2.804627054,2.933486508,4.057293309,3.282226966,,
Afghanistan,AFG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,22.2043492,22.17606963,20.10222201,20.73019959,21.6848339,20.94146542,32.70375929,26.92494477,17.75693681
Africa Western and Central,AFW,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.938269216,2.022586841,2.36500484,2.243681133,2.181742955,2.882204615,2.297776346,,
Angola,AGO,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.442469966,0.412943734,0.322636135,0.22184513,0.035207355,0.255701032,0.407898315,0.09952781,0.191596897
Albania,ALB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,2.88786381,1.404106807,1.26672546,2.242490268,0.182862212,2.071773927,3.56771221,1.6952171,1.551351018
Andorra,AND,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Arab World,ARB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.802773768,1.0931424,1.147195517,1.167064304,1.020475052,1.265975764,1.303596389,,
United Arab Emirates,ARE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Argentina,ARG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,-0.003233202,0.00048045,-0.000185864,0.014468276,0.002207388,0.027462316,0.032835638,0.062036562,0.040937328
Armenia,ARM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.164127457,3.025009719,2.158248282,1.120343683,3.028962289,1.025682843,1.207683223,1.586653047,0.875383708
American Samoa,ASM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Antigua and Barbuda,ATG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.110324258,0.013163338,0.706241993,1.110687686,1.659049578,1.845277132,0.396657977,,
Australia,AUS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Austria,AUT,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Azerbaijan,AZE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.135431043,0.223179508,0.314144795,0.194911109,0.259777882,0.292363119,0.020125847,0.065962219,0.177691195
Burundi,BDI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,11.81946306,28.09613907,15.99295001,16.88929676,21.49950015,18.10858503,21.90808951,17.13826597,23.47719182
Belgium,BEL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Benin,BEN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.856322278,4.249724622,5.36703489,4.044945079,4.149145013,6.749722492,4.866194858,4.90434446,5.315683514
Burkina Faso,BFA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,8.840644304,8.395883918,6.570885578,7.717445674,7.233711074,10.12720648,8.584391696,7.722633737,7.372027995
Bangladesh,BGD,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.247700173,0.912232555,1.244518224,0.911021786,1.198729862,1.380433446,1.161763754,1.088047907,1.249546955
Bulgaria,BGR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Bahrain,BHR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
"Bahamas, The",BHS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Bosnia and Herzegovina,BIH,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,2.158012919,2.60279436,2.42391674,1.748296988,2.2566648,2.187372628,2.419664194,1.177314503,1.121592849
Belarus,BLR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.193435999,-0.049062815,-0.474971252,0.205960429,0.340887372,0.555459602,0.210149521,0.024828666,0.16362849
Belize,BLZ,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.347638317,1.641797188,1.597498476,1.583168846,1.609061055,3.522788456,3.324276898,0.774593248,1.077890184
Bermuda,BMU,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Bolivia,BOL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,2.482702139,2.090337077,2.60765529,1.854054373,1.770635482,0.940039947,1.29001524,0.785444024,1.742545059
Brazil,BRA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.056731665,0.038383491,0.01352504,0.023876513,0.015006259,0.042460179,0.068928871,0.030517606,0.032992548
Barbados,BRB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Brunei Darussalam,BRN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Bhutan,BTN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,4.756696681,2.375484622,4.983837413,4.566832313,7.169902169,8.800053632,4.91299965,7.104249326,5.497253959
Botswana,BWA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.50118403,0.656683896,0.692684901,0.555766083,0.405216623,0.535448191,0.519760267,0.445859057,1.463932999
Central African Republic,CAF,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,28.36052954,27.42534853,23.50747488,26.85873455,28.39145921,33.94260443,24.56140119,27.25092088,27.25237243
Canada,CAN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Central Europe and the Baltics,CEB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Switzerland,CHE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Channel Islands,CHI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Chile,CHL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.022972377,0.073611154,0.026488444,,,,,,
China,CHN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,-0.002727909,-0.006942195,-0.007906001,-0.005006632,-0.004180453,-0.003835099,-0.003108373,-0.001544182,-0.001474319
Cote d'Ivoire,CIV,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.454587203,1.300996514,1.626640637,1.687485423,2.00143362,2.557588172,2.236145766,2.867009467,3.103620307
Cameroon,CMR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,2.090294895,2.275026094,3.433762074,2.971595527,3.345542833,3.511102198,2.579678228,2.745071502,1.946322431
"Congo, Dem. Rep.",COD,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,7.399351625,5.784131775,6.204796956,5.481164012,5.739975126,7.131210665,6.771001213,5.281760545,6.697232078
"Congo, Rep.",COG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.7178903,0.82499956,1.040718044,1.050515118,1.41262639,1.902745279,1.560211416,4.996118128,2.595117242
Colombia,COL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.468096873,0.395751097,0.277420469,0.546430478,0.276802172,0.698331914,0.607662444,0.564767859,0.288995027
Comoros,COM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,6.779173283,5.277490777,6.209763019,7.608629472,6.201664709,10.84585995,11.97162829,10.80644617,11.56896682
Cabo Verde,CPV,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,9.063466933,6.436905958,6.354614102,3.904676537,6.920382957,8.932383149,7.237820982,3.781853339,4.053174733
Costa Rica,CRI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.206002217,0.178696408,0.173080124,0.168398039,0.094471499,0.357214244,0.13266977,0.997491225,0.17966571
Caribbean small states,CSS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.329806929,0.340484942,0.396847136,0.611452457,0.8510004,1.081780169,1.167142608,,
Cuba,CUB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.648681877,2.995028699,0.769370278,0.76061795,0.488835232,,,,
Curacao,CUW,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Cayman Islands,CYM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Cyprus,CYP,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Czechia,CZE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Germany,DEU,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Djibouti,DJI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,7.232564489,7.340797253,5.41020686,6.466920584,8.804811397,8.560949533,5.348894036,1.676207086,5.531522325
Dominica,DMA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,2.086491216,1.446307003,3.392638117,4.2790569,8.095845851,11.96307033,14.03465782,9.508306962,7.98882793
Denmark,DNK,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,
Dominican Republic,DOM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.411525455,0.244405124,0.156369848,0.109832083,0.154765745,0.502478444,0.498565042,0.337294433,0.576772866
Algeria,DZA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.038732322,0.08047903,0.093057158,0.075951874,0.091266107,0.13018904,0.118767112,0.098174952,0.082902001
East Asia & Pacific (excluding high income),EAP,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.063356041,0.056157574,0.055908789,0.049317118,0.040976358,0.072219631,0.050443995,0.044955341,0.050065387
Early-demographic dividend,EAR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.446360959,0.487143965,0.469049021,0.503819899,0.458120436,0.58027269,0.524521468,,
East Asia & Pacific,EAS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.038286647,0.033490123,0.034143437,0.030940081,0.026061329,0.046370402,0.033610405,0.030871465,0.034367621
