Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,137.8297882,139.3205872,135.1247253,123.6259079,131.8021698,
Africa Eastern and Southern,AFE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,42.26185989,42.68149948,43.25408936,43.5594101,44.12873077,44.68255997,45.15053177,45.28162003,45.15539169
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,53.15010834,53.43503952,55.53643036,57.35784912,,,,,
Africa Western and Central,AFW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,43.70893097,42.30617905,42.43317032,42.71456146,43.90626907,44.73434067,45.56742859,45.63729858,46.44224167
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,54.41679873,,,,,53.13515427,,51.48390462
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.4407293,99.17075505,97.57436975,98.82238786,99.01515357,95.92944745,97.66503303,97.32247147,96.13687712
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.29621887,94.65241241,95.10903931,95.9804306,96.57433319,97.15003967,98.04042053,98.50987244,99.50865173
Arab World,ARB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,66.15454102,66.45999908,66.93504333,67.05548859,67.38007355,67.28217316,68.00124359,69.45613861,68.65254211
United Arab Emirates,ARE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,102.1844482,101.7473443,99.16354008,103.2106633,102.3809814,101.9449724
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,107.5048676,109.5983276,110.3778,109.6712418,110.4601517,112.3767319,115.7357788,114.1481171,105.5745843
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.44213867,,,83.02494108,86.8260633,88.50802982,91.48537351,91.71066099,89.41110276
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,117.5577011,,117.2099304,121.6852493,,,,107.7999088,108.8807786
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,159.1107635,155.5943909,153.5761261,136.105545,144.0565643,137.4907379,135.5265656,133.2772675,134.0992432
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.4115829,100.2279892,100.3378983,100.6925964,101.5436325,101.6905594,102.307663,101.4580002,100.5043716
Azerbaijan,AZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.80985864,86.58569358,89.26251647,108.4887811,107.8639605,91.3655135,91.41063676,90.95303642,92.74029724
Burundi,BDI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,43.93519298,47.47153428,48.22434873,46.33039417,41.83524175,44.91517174,,,
Belgium,BEL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,164.0798187,160.68927,158.6702881,156.5097656,156.635376,151.7275085,143.1635132,142.9180756,142.9602661
Benin,BEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,55.13330841,55.29459,,,,43.98587036,44.2737999,43.56064987,
Burkina Faso,BFA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,32.89313436,34.93362808,37.16275108,39.62784675,40.07704603,39.25400848,38.14803124,33.62128662,30.85512163
Bangladesh,BGD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,59.42174149,64.16645461,62.34086392,65.27148888,65.11854135,66.43295485,66.82823186,67.03845864,65.98565986
Bulgaria,BGR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.8893433,103.0039215,103.4610214,104.0439224,102.6569366,101.3549423,98.70876312,96.67207336,95.6239624
Bahrain,BHR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.3039148,100.5836493,100.9234129,100.7018874,102.1282819,,,103.393223,104.3929387
"Bahamas, The",BHS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,76.04403388,85.06863274,92.61825851,80.88089293,78.56673438,,72.63818801,,87.14552405
Bosnia and Herzegovina,BIH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.71617889,83.16995239,83.66808319,85.64099121,85.54013062,85.55911255,85.67614746,87.03739929,87.86637878
Belarus,BLR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.895731,102.9690059,102.4808505,101.596011,100.4387442,100.5757104,100.4206392,99.06020329,97.4265999
Belize,BLZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,81.29361995,87.73137263,86.3238932,86.28335614,87.45265967,86.18865962,88.82155469,87.43816686,83.61955381
Bermuda,BMU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.80705261,,,,,,,,74.3967514
Bolivia,BOL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,90.6139032,90.61528528,89.40002128,88.72189996,88.82350466,88.86723698,90.41441374,90.37293382,91.3676827
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.920517,102.5695038,103.0159607,105.0070724,103.9532776,104.1259995,106.6518936,106.031189,
Barbados,BRB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,108.1960297,108.3107376,109.8042374,108.2167511,106.0863266,104.3189926,103.5694733,104.2223282,102.5137024
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.81616974,90.09861755,88.68147278,89.18180847,88.29103088,86.68578103,89.59560097,89.85136506,91.83815444
Bhutan,BTN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.23130798,85.67661285,86.56004333,87.57228707,90.61855755,89.77114289,92.52483803,89.98291294,86.85644156
Botswana,BWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,70.6292572,,
Central African Republic,CAF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,13.94655037,15.8074398,,,,,,
Canada,CAN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,111.7372818,111.6073303,111.9745178,111.8336792,110.980072,109.6280594,108.3373413,107.4793777,104.2876434
Central Europe and the Baltics,CEB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.2598267,101.3280563,101.3039398,101.1315613,100.4504776,102.2436523,101.3069611,100.1211929,99.31640625
Switzerland,CHE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.9133911,104.0951309,103.9000626,104.1880264,104.0711136,104.2116165,103.6051865,103.3923569,102.9655914
Channel Islands,CHI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.9216766,101.4881363,102.2948227,103.1730499,104.4057693,103.6916885,106.6735229,106.0683289,105.8309708
China,CHN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,
Cote d'Ivoire,CIV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,43.98656473,46.24250699,49.08635558,51.07261451,53.79193062,55.43803237,57.135967,54.07141083,63.96075578
Cameroon,CMR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,60.49608836,61.40370451,,,,,45.52557671,45.60667243,44.84079578
"Congo, Dem. Rep.",COD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,42.18046188,,,,,,55.36362839,,55.48609924
"Congo, Rep.",COG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,97.67411804,98.41562653,99.21932983,100.3733368,101.9893494,101.4994507,102.987999,101.5737762,
Comoros,COM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,56.95021448,61.70146854,,,,,
Cabo Verde,CPV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.60122863,98.25284581,99.46278226,94.89720154,95.29022856,98.30930237,97.00592504,96.43159404,
Costa Rica,CRI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,115.720871,118.2037125,121.5149612,125.9643478,132.8493347,132.6786804,138.9033813,131.9075928,125.5100708
Caribbean small states,CSS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.76187897,88.6953125,87.50227356,86.90795135,87.96694183,86.01219177,85.84056854,84.88391876,85.92713165
Cuba,CUB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.09290991,97.80056411,98.89163814,99.58059265,100.4678099,101.4879906,100.0161815,103.627149,95.59865743
Curacao,CUW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,129.470257,,,123.42974
Cayman Islands,CYM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,89.01408451,88.12251282,84.09091187,85.46164446,85.60122681,86.0370923
Cyprus,CYP,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.77831268,99.11930847,100.33255,100.2535172,100.8504333,101.4274063,102.4994965,104.005722,102.4008484
Czechia,CZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.8105164,103.0150833,102.2046967,101.5148926,100.2155685,99.32926178,102.0899429,102.9355621,97.61541748
