Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,63.71232469,63.12077925,62.3954739,61.84046856,61.35699337,59.77300963,60.27954577,60.44514406,64.07520665
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,19.113,20.156,21.24,19.808,18.304,16.473,14.666,5.159,5.155
Africa Western and Central,AFW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,66.4613903,66.23345522,65.72373153,65.42507282,65.17822376,64.43911066,64.78000317,64.73852098,66.3493449
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,73.933,73.698,73.461,73.224,72.985,72.731,74.695,73.179,73.224
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,47.116,49.888,49.736,51.407,52.93,50.616,51.887,53.183,53.207
Andorra,AND,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,20.68137465,20.71537219,19.89062683,18.88629966,18.29250065,17.79066782,18.03054705,17.88640143,18.28556922
United Arab Emirates,ARE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,48.192,49.233,50.926,51.312,54.382,58.18,50.452,53.057,53.475
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,47.498,47.582,47.666,49.146,50,46.486,50.26,51.868,52.957
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,55.872,55.962,56.038,56.015,57.831,57.865,58.289,56.853,56.786
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,59.151,59.381,59.877,60.523,60.959,60.205,61.273,62.314,62.374
Austria,AUT,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,54.827,55.349,55.352,55.426,55.514,55.224,55.35,55.688,55.812
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,61.096,62.043,62.213,62.63,62.427,64.382,59.679,61.473,60.952
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,80.816,81.064,81.163,81.15,80.96,78.558,80.47,80.352,80.138
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,48.045,47.81,47.974,48.77,49.097,48.66,49.367,50.029,49.831
Benin,BEN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,72.007,72.597,73.179,73.755,74.325,73.677,74.791,74.264,74.183
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,55.634,53.596,51.563,49.536,47.517,45.033,43.385,41.315,41.294
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,33.531,33.497,36.676,38.079,39.376,40.407,42.34,43.687,43.712
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,48.725,47.437,49.604,49.175,50.223,49.307,49.026,50.649,51.043
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,43.369,43.548,43.492,43.306,42.821,41.511,41.58,42.684,43.096
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,66.407,66.291,66.502,66.774,66.721,62.759,64.517,66.321,66.733
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,39.357,39.218,39.077,38.916,38.683,38.161,38.411,38.537,39.533
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,58.644,58.727,58.566,58.055,58.25,57.856,57.995,57.862,57.385
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,48.253,49.101,48.678,52.925,57.097,51.374,48.357,48.772,49.182
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,
