Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Africa Eastern and Southern,AFE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,23.85358955,24.76222018,25.67141724,26.58131454,27.49173411,28.40250515,29.313843,30.03409813,
Africa Western and Central,AFW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,25.2031307,25.93966456,26.67070916,27.39279824,28.11386443,28.81000127,29.32165491,29.51720672,
Angola,AGO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,70.59196989,70.61650786,70.63694159,70.65335162,70.66585501,70.67453741,70.70579506,70.73606795,
Andorra,AND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,90.64000157,90.63999638,90.64000338,90.63999598,90.63999709,90.63999867,90.64000155,90.64000149,
Arab World,ARB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
United Arab Emirates,ARE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Argentina,ARG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Armenia,ARM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,83.07821072,82.93473086,82.79145838,82.95983804,82.82284776,82.68581879,82.54877772,82.41172394,
American Samoa,ASM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,89.39520211,89.62487451,89.85454691,89.85454691,89.85454691,89.85454691,89.85454691,,
Antigua and Barbuda,ATG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Australia,AUS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Austria,AUT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.90942135,98.90780819,98.90620205,98.90447482,98.90261913,98.90064308,98.89854282,98.89632339,
Azerbaijan,AZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,67.88978273,68.4656824,69.03698468,69.60326589,70.16406507,70.67330997,71.14634824,71.61170272,
