Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,99.9,100
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.92227566,38.85959766,40.22374417,43.03507335,44.39086053,46.28237095,48.12721104,48.80125796,50.66833048
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,85.3
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.86241825,51.04512719,48.90072805,51.33582935,51.29157691,51.85604285,54.36859871,55.68668297,57.06926658
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,42,41.8,42.9,45.3,45.6,47,48.2,48.5,51.1
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,99.9,99.9,100,100,100,100,100,100
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.66164314,89.18617106,90.35106694,88.68984065,89.92899631,90.24177697,90.43409477,90.65451791,91.64542994
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.9,100,100,100,100,100,100,100
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,99.8,99.7,99.9,100,100,100,100,100
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,7.9,8.5,9.3,9.5,9.8,9.1,10.2,10.3,11.6
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,29.6,37,34.5,39,40,41,42,56.5,57
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.2,16.6,17,14.4,17.6,18.5,19,19.5,21.7
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,74,75.9,88,86.9,92.2,96.2,99,99.4,99.5
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.6,97.3,98.1,98.7,99.2,99.7,99.8,100,100
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,100,100,100,100,100,100,100,100
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.4,98,98.7,99.3,100,100,100,100,100
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8,93.3,94.2,91.7,92.7,96.8,97.7,98.6,99.6
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.5,91.8,91.8,92.8,95.1,97.2,98.6,99.9,99.8
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.7,99.8,99.7,99.8,99.7,99.5,100,99.8
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.4,99.3,97.7,100,100,100,100,100,100
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.1,64.2,67.4,68.3,70.1,71.8,73.7,75.9,76
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.7,13.4,14.1,14.6,14.3,15.4,15.7,15.7,17.6
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.53847099,99.64591383,99.87368668,99.8763759,99.94803496,99.98058396,99.98701212,100,100
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,100,99.7,100,100,100,100,100,100
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.6,64.3,65.6,67.1,68.6,69.9,71.1,72,72.4
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,58.6,59.8,60.9,62.2,63.2,64.3,65.4,71,72
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.6,17.3,18,18.7,19.1,20.1,20.8,21.5,22.1
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.3,45.3,46.2,47,47.7,48.7,49.7,50.6,51.3
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.2,98.4,98.5,98.5,99.4,99.7,100,100,98.7
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,74.1,76.4,78.7,81,83.3,85.6,87.9,89.9,89.8
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.4,87.5,88.6,90.2,91.4,93.7,95.5,97.1,98.6
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,99.5,99.6,99.7,99.7,99.9,100,100,100
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.20019485,96.66568678,97.05429006,97.08782771,97.36859039,97.93336269,98.17469909,98.30642215,99.16847754
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99,99.2,99.4,99.6,99.8,99.9,100,100,100
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Czechia,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,59.1,59.8,60.2,62.4,64.7,64.5,65.4,65,65.2
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.7,97.8,98.9,99.6,99.9,100,100,100,100
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.6,98.9,100,98.9,99,100,98.1,98.1,99.6
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,99.4,99.5,99.6,99.5,99.7,99.8,100,100
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.62182507,96.71653419,97.4453073,97.41238297,97.65009606,97.56518497,97.95992099,98.02737209,98.2376383
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.82715446,88.34944813,90.50867288,91.99271092,92.7976553,93.45578106,95.24233389,95.1575745,95.7044381
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.95005996,97.03439658,97.69153593,97.66096407,97.87525581,97.79762097,98.15342591,98.21392948,98.40448808
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.76780457,99.86598643,99.91827558,99.94213212,99.96581414,99.97745826,99.96169579,99.99159856,100
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.16791752,99.82900478,99.96413289,99.97079163,99.95346686,99.97603547,99.98819724,99.99773358,100
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.8,98.7,99.2,98.7,99.1,98.9,100,100,98.7
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3,100,100,100,100,100,100,100,100
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.8,46.9,48,49.1,50.3,51.4,52.5,53.4,54.4
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,29,42.9,44.3,44.8,48,51.1,54.2,55.4,55.4
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8929116,99.91826372,99.97097243,99.97172757,99.98815561,99.99560229,99.99708341,100,100
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.04322377,54.17577189,54.53774955,54.51546866,55.45141643,56.30104905,57.83322559,57.94587064,58.95010931
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.2,93.4,96,95.1,96.1,97.1,92.1,92,99.3
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Faroe Islands,FRO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,73,74.8,76.5,78.3,80.1,81.9,83.6,85.3,86.9
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.3,88.1,86.3,89.6,90.3,91.1,91.8,93.5,94.1
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,99.9,100,100,100,100,100
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,74,79.3,79,80.4,83.5,85.4,86.3,85.1,89.5
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.9,33.5,35.4,45,42.2,44.7,46.8,47.7,51.1
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.7,56.4,56.2,60.3,62.1,62.2,63.7,65.4,66.9
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.1,22.9,26,28.4,30.9,33.4,35.8,37.4,40.5
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,66.1,66.2,66.4,66.5,66.6,66.7,66.8,67,66.9
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.4,91.8,92.2,92.3,93,93.4,93.7,94.2,94.4
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.5,91.8,93.3,94.2,95.4,96.6,97.9,99.1,100
