Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.6612,93.5425,97.17,,,,,,
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.3,15.8,17.3,19.6,22.4,25,28.2,30.2,32.4
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26,11,13.5,16.8,17.6,17.0485,16.5143,17.1917,17.7089
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.3,19.9,23.2,25.7,28.7,31.7,34.9,36.9,38.1
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,22,23.2,26,29,32.1294,36.6347,39.3876,42.0719,44.7581
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.9,59.6,62.4,65.4,68.5504,72.2377,79.3237,82.6137,83.1356
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.9,89.7,91.5675,,90.7187,93.2056,93.8975,94.4855,95.4456
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.5,90.6,94.8199,98.45,99.15,100,100,100,100
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.1008,64.346,64.7449,68.2451,66.5439,76.5077,78.6123,77.0277,79.9966
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,70,70.9743,71.9621,72.9637,73.9792,75.0089,76.0528,77.1648,77.5756
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.5605,86.54,86.545,90,93.6099,94.6935,96.9722,97.0424,97.0631
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.9401,84.3237,87.9356,87.4791,87.7522,87.5294,92.5292,93.6141,95.3347
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,77,78.2,79,79.8,81.1,84.6,86,88,89
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,2,2.2,2.66075,4,6.1,9.17302,10.9847,11.0009,11.0784
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.0529,86.5165,87.6797,88.6473,90.2754,91.5264,92.7887,94.0078,94.6263
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.255,14.5,18.7,19,20.5,22.1206,28.2047,30.0134,32.2083
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.55,7.14,7.79,8.5,9.27181,10.7927,12.5631,14.6238,17.0226
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.9,18.1,21.5,25.6,30.4,36.1091,38.9174,41.6165,44.5027
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.6563,59.8255,63.4101,64.782,67.947,70.1625,75.2714,79.1269,80.3896
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.4783,98,95.8781,98.6447,99.7015,99.671,100,100,100
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,78,80,80.6,83,90.6933,92.4437,94.3479,94.7326,94.8186
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,52.6,60.2565,64.892,70.1201,69.9463,73.2118,75.6762,78.8455,83.3772
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.2304,71.113,74.4364,79.1299,82.7892,85.0879,86.8884,89.5073,91.5125
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.59,44.5757,48.8771,53.5936,58.7652,64.4359,70.6537,71.8096,72.3595
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.3236,98,98.37,,,,,,
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.4868,39.6975,43.8323,44.2861,47.4748,59.9401,65.9774,67.3612,70.2368
