Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population, total",SP.POP.TOTL,107906,108727,108735,108908,109203,108587,107700,107310,107359
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764
Afghanistan,AFG,"Population, total",SP.POP.TOTL,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589
Angola,AGO,"Population, total",SP.POP.TOTL,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906
Albania,ALB,"Population, total",SP.POP.TOTL,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
Andorra,AND,"Population, total",SP.POP.TOTL,72174,72181,73763,75162,76474,77380,78364,79705,80856
Arab World,ARB,"Population, total",SP.POP.TOTL,410190679,419808341,428315886,435998060,444281315,453723239,460646603,471352066,482105978
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751
Argentina,ARG,"Population, total",SP.POP.TOTL,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401
Armenia,ARM,"Population, total",SP.POP.TOTL,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300
American Samoa,ASM,"Population, total",SP.POP.TOTL,52878,52245,51586,50908,50209,49761,49225,48342,47521
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,89409,89969,90468,90926,91364,91846,92349,92840,93316
Australia,AUS,"Population, total",SP.POP.TOTL,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777
Austria,AUT,"Population, total",SP.POP.TOTL,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958
Burundi,BDI,"Population, total",SP.POP.TOTL,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450
Belgium,BEL,"Population, total",SP.POP.TOTL,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423
Benin,BEN,"Population, total",SP.POP.TOTL,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776
Bangladesh,BGD,"Population, total",SP.POP.TOTL,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596
Bahrain,BHR,"Population, total",SP.POP.TOTL,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385346,388055,390485,392717,394675,395863,396373,397538,399440
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073
Belarus,BLR,"Population, total",SP.POP.TOTL,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298
Belize,BLZ,"Population, total",SP.POP.TOTL,356333,364705,373202,380226,385829,390812,395346,402733,411106
Bermuda,BMU,"Population, total",SP.POP.TOTL,63464,63449,63578,63831,64107,64382,64648,64749,64698
Bolivia,BOL,"Population, total",SP.POP.TOTL,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159
Brazil,BRA,"Population, total",SP.POP.TOTL,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729
Barbados,BRB,"Population, total",SP.POP.TOTL,278990,279598,280171,280711,281207,281698,282147,282318,282336
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,422212,427564,432772,437810,442680,447404,451721,455370,458949
Bhutan,BTN,"Population, total",SP.POP.TOTL,740618,747866,754335,759759,764824,770006,775442,780914,786385
Botswana,BWA,"Population, total",SP.POP.TOTL,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421
Canada,CAN,"Population, total",SP.POP.TOTL,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102973167,102647939,102337501,102074201,101864274,101215763,100205732,100071871,100175859
Switzerland,CHE,"Population, total",SP.POP.TOTL,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093
Channel Islands,CHI,"Population, total",SP.POP.TOTL,163454,163883,164319,164949,165639,166235,166741,167215,167691
Chile,CHL,"Population, total",SP.POP.TOTL,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835
China,CHN,"Population, total",SP.POP.TOTL,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654
Cameroon,CMR,"Population, total",SP.POP.TOTL,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885
Colombia,COL,"Population, total",SP.POP.TOTL,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152
Comoros,COM,"Population, total",SP.POP.TOTL,726682,741741,756669,771590,786578,802163,818174,834188,850387
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,512394,512554,512893,513415,514104,514679,516649,519741,522331
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4314191,4341333,4366140,4407658,4443134,4459302,4479167,4497310,4519904
Cuba,CUB,"Population, total",SP.POP.TOTL,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931
Curacao,CUW,"Population, total",SP.POP.TOTL,157980,159664,160175,159336,157441,154947,152369,149996,155800
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,61642,63100,64535,65941,67327,68684,70108,71591,73038
Cyprus,CYP,"Population, total",SP.POP.TOTL,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976
Czechia,CZE,"Population, total",SP.POP.TOTL,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042
Germany,DEU,"Population, total",SP.POP.TOTL,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83901923
Djibouti,DJI,"Population, total",SP.POP.TOTL,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944
Dominica,DMA,"Population, total",SP.POP.TOTL,70410,69606,68496,68174,67880,67573,67202,66826,66510
Denmark,DNK,"Population, total",SP.POP.TOTL,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10434829,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265
Algeria,DZA,"Population, total",SP.POP.TOTL,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2056050896,2071486140,2087238522,2100698838,2112289891,2121866294,2128553744,2133560408,2137527754
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3190318707,3233033717,3274060446,3314245247,3355014793,3396051187,3432026092,3470644834,3511607650
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2300844269,2317076058,2333475520,2347576325,2359771090,2369438682,2375144416,2379648196,2384479340
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,240232789,242410814,244533821,246659127,248863066,250660609,252189631,250840400,249053262
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,907676898,911765648,915290996,918947897,922218554,923973838,924702975,925061269,925640799
Ecuador,ECU,"Population, total",SP.POP.TOTL,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772
Euro area,EMU,"Population, total",SP.POP.TOTL,343180482,344132977,344810179,345864630,346496601,346986142,347207191,348700885,350292725
